id,contract_id,type,invoice_id,profit,crm_activitsprincipales,sales,amount,date
8172b527-7325-4645-a4e4-08223d9d7ffa,62007a1d-939c-48e2-b36a-dfd44b16d492,sales,a5100254-f020-4911-b156-06ba72237361,0.0,2020-12-18,175.0,175.0,2022-01-02 00:00:00
e2e0cc25-093b-46bd-926a-fa443dd137bd,13964b9c-4545-4457-b80b-ebba378a32b4,profit,48a1ed9c-9280-495d-b955-8a6400cda418,212.0,2025-03-28,0.0,212.0,2021-04-18 00:00:00
9fc6d096-5aa0-4c36-b60f-82602f75289f,0e4818ed-1517-4519-aaec-875f7dadebd8,sales,174681b8-b935-4004-978f-bc35949128cb,0.0,2021-11-15,819.0,819.0,2024-12-27 00:00:00
3a2bf0cf-9868-4024-b4ed-f1fec9fde56f,8166393a-70a5-44ba-a831-8cebce15f763,profit,327fc643-2b97-4152-9e8d-8430c72b860a,763.0,2025-05-27,0.0,763.0,2021-02-08 00:00:00
4443f49b-fb6e-4416-8da8-05e05bb48505,1cd6b87a-24dd-42fa-a145-ce6f6f0484d0,sales,ca0fcf84-8932-435d-8671-1d156813ff35,0.0,2023-08-02,595.0,595.0,2020-02-02 00:00:00
,68939744-1c8e-4635-964b-02176d285a9b,sales,644c6c32-c177-4df2-a16f-f6a1f80598c6,0.0,2022-05-02,217.0,217.0,2023-04-17 00:00:00
42c4b14d-1a56-439c-8990-526f8add7ac4,13d1bbf9-7108-4d77-af2e-7d86c25af9dc,profit,dfd3aad6-8a3e-4b51-b891-83b4ab616890,654.0,2020-01-24,0.0,654.0,2023-07-13 00:00:00
a2d27870-88be-4866-bb9e-8801feb80e29,87fc2d28-e98d-4020-babf-cfe6809a0bc5,sales,55fb3ca4-0ed6-4683-b7c3-7ca6f6ac8063,0.0,2020-08-19,571.0,571.0,2020-06-18 00:00:00
cba0b47b-baee-45d3-98dd-647d18475804,cd9756ff-1a9f-4fbc-a0c4-1a26057176ba,profit,6f94f456-3b8b-4b8e-b06d-8433bf829991,527.0,2024-02-19,0.0,527.0,2020-10-05 00:00:00
6a5e8f9b-e456-45f9-bba7-168ffe032acc,230f26d0-fc68-40ef-924d-4df9aa4fa0e6,sales,a5a18d7b-cab0-4ebe-adc2-e3c048516fe3,0.0,2020-08-28,826.0,826.0,2024-01-09 00:00:00
a5378ae7-4023-43dc-ad52-a33fed4fbeab,e613b18f-a59d-4ba6-af67-6f0dd9b5d414,sales,c7c06b3d-c917-4fe9-9a31-e9986a8255b4,0.0,2020-02-23,962.0,962.0,2022-09-27 00:00:00
0ee23a0b-b014-4e1a-a34a-cab933e5b3cc,0cccf97e-1ad3-4894-b3ea-96be21c183de,sales,9f1ed9c4-2c4a-4fc0-a7f1-b2f2e7adfa96,0.0,2023-05-27,525.0,525.0,2023-11-01 00:00:00
bea3ae64-40ef-463d-a73a-f838ff6c2c46,1cbe91a2-9b0f-40c4-b669-f6e19c30fce3,profit,e24f5185-6170-4529-b63d-7a0edf5e9fb8,553.0,2024-04-14,0.0,553.0,2020-08-10 00:00:00
3d5c87b1-7876-4264-abd5-1f2630d18744,87fc2d28-e98d-4020-babf-cfe6809a0bc5,sales,55fb3ca4-0ed6-4683-b7c3-7ca6f6ac8063,0.0,2022-03-21,571.0,571.0,2022-06-25 00:00:00
5cc968c3-4009-44b2-b3f3-2fe5e6208aea,c2d56644-6224-418a-9f7b-65c3b9a0a07f,sales,fdcf4f1d-fe1c-4015-867a-6a9127c04c7f,0.0,2024-01-03,168.0,168.0,2024-12-03 00:00:00
8f2ab9d5-3672-4310-815f-66df1a8cac5b,ad9fd8e6-4570-46b2-8ee7-a61f67154b1d,profit,00f12794-c3ba-41d0-a3af-a13cd89e7567,214.0,2021-02-17,0.0,214.0,2024-03-11 00:00:00
3c946dfb-8dce-4a70-a4b9-2af388e00cb1,d02ed988-449a-41d4-88d4-c54f099a7ed8,sales,7a917077-e615-4487-b10c-ca0694c8ea69,0.0,2023-09-15,304.0,304.0,2023-06-23 00:00:00
17c2693e-097c-4e68-b847-fdbc1d4d8469,61526bee-e30b-4540-bd00-2eaa68aae000,sales,2225200e-50f2-4315-9082-0387d8715cee,0.0,2022-01-12,628.0,628.0,2023-03-25 00:00:00
