Delivery Market Name,Campaign,Channel,Date,Com sent,with success,Nb of Opening,Nb of Clicks,Transactions generated,Turnover,Turnover Online,Turnover Offline,Nb of Items Bought
France,MMAG Noël 2020 Boutiques,Direct Mail,2020-10-19 00:00:00,68412,68412,0,0,7627,1317752.770000001,162279,1155473,37477
France,Mailing Réouverture Boutiques Juin 2020,Direct Mail,2020-06-10 00:00:00,49280,49280,0,0,3377,547414.85,5316,542099,16625
France,Tactical_SMS_FR_Shopping_Noel_20201217,SMS/MMS,2020-12-17 00:00:00,66813,63580,0,0,2785,493857.08999999985,16652,477206,15241
France,Mailing Postal MMAG Septembre 2020 Boutiques,Direct Mail,2020-07-24 00:00:00,49984,49984,0,0,2505,429004.6699999997,12643,416362,12789
France,Tactical_MMS_fr_Noel_20201207,SMS/MMS,2020-12-11 00:00:00,55895,0,0,0,1922,335971.4999999999,20745,315226,11013
France,MailingPostal Boutiques VIP Mars2020,Direct Mail,2020-02-06 00:00:00,35964,35964,0,0,1606,322756.0499999991,0,322756,9639
France,SMS_Tactical_FR_boutique_20201203,SMS/MMS,2020-12-03 00:00:00,31917,30166,0,0,1504,277509.39999999985,8868,268642,9245
France,MailingPostal Boutiques Mars2020,Direct Mail,2020-02-05 00:00:00,52641,52641,0,0,1498,266051.36,0,266051,7939
France,Tactical_SMS_fr_BlackFriday_2_20202711,SMS/MMS,2020-11-27 00:00:00,35373,33692,0,0,854,236119.56999999998,26818,209302,4997
France,Tactical_MMS_fr_BlackFriday_2_20201127,SMS/MMS,2020-11-26 00:00:00,29981,0,0,0,995,210014.52,10842,199172,5956
France,MMAG Noël 2020 Churners,Direct Mail,2020-10-19 00:00:00,27779,27779,0,0,1369,190853.90999999997,44254,146600,5613
France,Anniversaire VIP TOP 300 - Bouquet de fleurs,Direct Mail,2020-10-16 00:00:00,290,290,0,0,334,174419.37,15197,159223,2248
France,MMAG Noël 2020 Espaces,Direct Mail,2020-10-19 00:00:00,17776,17776,0,0,1296,167596.61000000002,2634,164963,6006
France,SMS_Tactical_FR_Doublement_Points_20201012,SMS/MMS,2020-10-12 00:00:00,49466,47312,0,0,830,158505.50999999998,8084,150422,3903
France,Delivery_fr_Saint_Valentin_20200130,Email,2020-01-31 00:00:00,265047,260472,40161,2335,1043,146388.86999999997,0,146389,4631
France,Mailing Postal OP VIPs Septembre 2020,Direct Mail,2020-08-03 00:00:00,50190,50190,0,0,944,143242.4899999999,11553,131689,4320
France,Email_tactical_FR_VIP_Repasse_20200918,Email,2020-09-18 00:00:00,79880,78581,16559,2034,740,140137.19000000006,54928,85209,3160
France,SMS_Tactical_FR_VIP_Reseau_20200917,SMS/MMS,2020-09-17 00:00:00,22550,21377,0,0,667,137230.74999999994,11488,125743,3962
France,Mailing Postal MMAG Septembre 2020 Espaces,Direct Mail,2020-07-24 00:00:00,9911,9911,0,0,838,131136.15,1359,129777,3790
France,Delivery_SMS_fr_Masterclass_20200520,SMS/MMS,2020-05-22 00:00:00,29698,28460,0,0,728,125772.37999999992,0,125772,3546
France,MailingPostal Churners FDM FDP 2020 Boutiques,Direct Mail,2020-05-13 00:00:00,19990,19990,0,0,891,125391.24000000006,0,125391,3727
France,Email_tactical_FR_LVP_20201022,Email,2020-10-22 00:00:00,163558,162110,35809,4027,817,114461.38,24904,89557,3199
France,SMS_Tactical_FR_Evenement_Digital_3,SMS/MMS,2020-09-28 00:00:00,20009,19120,0,0,382,109388.08000000002,2914,106474,2241
France,Delivery_fr_bonne_annee_20200101,Email,2020-01-01 00:00:00,265074,261977,52359,5242,746,104133.63,0,104134,3083
France,Delivery_SMS_fr_FDP_20200619,SMS/MMS,2020-06-19 00:00:00,20013,19026,0,0,557,102121.26999999996,0,102121,2701
France,SMS_Tactical_FR_VIP_Boutiques_20200921,SMS/MMS,2020-09-21 00:00:00,41883,38146,0,0,528,94947.12000000005,8076,86872,2655
